employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
74939,Procurement,region_13,Master's & above,f,other,2,35,3,5,0,0,67,0
74940,Operations,region_17,Bachelor's,f,sourcing,1,39,4,10,0,0,58,0
74941,Operations,region_19,Bachelor's,f,sourcing,1,33,5,9,1,0,58,0
74942,Sales & Marketing,region_33,Bachelor's,m,other,2,39,3,9,0,0,49,0
74943,Analytics,region_2,Bachelor's,m,other,1,46,3,20,0,0,87,0
74944,Legal,region_26,Bachelor's,m,sourcing,1,43,5,6,0,0,63,0
74945,Operations,region_28,Bachelor's,m,sourcing,1,27,4,4,0,0,62,0
74946,Operations,region_13,Bachelor's,f,other,1,42,4,7,1,0,60,0
74947,Sales & Marketing,region_2,Bachelor's,m,referred,1,36,4,2,0,0,51,0
74948,Procurement,region_13,Bachelor's,f,sourcing,1,43,5,13,1,0,67,0
74949,Technology,region_7,Bachelor's,f,other,1,33,2,4,0,0,78,0
74950,Technology,region_2,Bachelor's,m,other,1,32,2,7,0,0,80,0
74951,HR,region_2,Master's & above,f,other,1,56,1,19,1,0,49,0
74952,Operations,region_12,Bachelor's,m,other,1,28,4,4,0,0,61,0
74953,Procurement,region_31,Master's & above,f,sourcing,1,38,4,6,0,0,73,0
74954,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,31,5,7,1,0,53,1
74955,Procurement,region_2,Below Secondary,m,other,1,23,3,2,0,0,71,0
74956,Sales & Marketing,region_23,Bachelor's,m,other,1,43,4,7,1,0,48,0
74957,Procurement,region_7,Master's & above,m,other,3,36,3,9,0,0,72,0
74958,Sales & Marketing,region_28,Bachelor's,m,other,1,33,4,7,0,0,53,0
74959,HR,region_15,Bachelor's,m,other,1,32,4,10,0,0,47,0
74961,Sales & Marketing,region_6,Bachelor's,m,other,1,29,4,5,0,0,53,0
74962,Sales & Marketing,region_23,Master's & above,m,other,1,35,2,9,0,0,53,0
74963,Procurement,region_2,Master's & above,m,other,2,31,4,7,0,0,68,0
74964,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,34,4,9,1,0,56,1
74967,Operations,region_7,Master's & above,f,sourcing,1,36,1,3,0,0,60,0
74968,Technology,region_7,Master's & above,m,other,1,35,4,6,0,0,80,0
74969,Analytics,region_2,Master's & above,m,other,1,54,5,5,1,0,87,0
74971,Sales & Marketing,region_27,Bachelor's,m,other,2,30,4,3,0,0,50,0
74972,Operations,region_31,Bachelor's,f,other,1,30,4,5,1,0,58,0
74974,Technology,region_5,Bachelor's,f,other,2,27,1,4,0,0,81,0
74975,Operations,region_11,Bachelor's,f,other,1,40,3,15,1,0,63,0
74976,Procurement,region_2,Bachelor's,m,sourcing,1,32,5,6,1,0,74,1
74977,Analytics,region_2,Bachelor's,m,other,1,37,3,4,1,0,88,0
74978,Procurement,region_13,Bachelor's,m,other,1,41,4,13,0,0,70,0
74979,Operations,region_13,Master's & above,m,sourcing,1,38,4,4,0,0,61,0
74980,Finance,region_4,Bachelor's,m,sourcing,2,28,5,4,1,0,63,0
74981,Sales & Marketing,region_24,Master's & above,m,other,1,32,5,7,0,0,46,0
74983,Procurement,region_2,Bachelor's,m,other,1,30,5,6,1,0,70,0
74984,Sales & Marketing,region_13,Bachelor's,m,other,2,31,1,4,0,0,50,0
74985,Technology,region_7,Bachelor's,f,other,1,28,5,3,0,0,92,1
74986,Analytics,region_26,Bachelor's,f,other,1,30,3,6,0,0,85,0
74988,Operations,region_7,Bachelor's,m,sourcing,1,29,5,5,0,0,57,0
74992,Legal,region_6,Bachelor's,m,other,1,28,4,3,0,0,56,0
74993,Operations,region_7,Master's & above,m,other,1,48,3,18,0,0,59,0
74995,Operations,region_22,Master's & above,f,other,1,47,4,15,1,0,57,0
74996,Procurement,region_2,Master's & above,m,other,1,49,3,2,0,0,75,0
74997,Analytics,region_26,Bachelor's,m,other,1,41,3,4,0,0,86,1
75001,Operations,region_2,Master's & above,f,other,1,38,1,4,0,0,64,0
75002,Procurement,region_31,Bachelor's,f,sourcing,2,33,3,5,0,0,68,0
75003,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,27,3,4,0,0,51,0
75004,HR,region_28,Master's & above,m,sourcing,1,32,5,4,1,0,52,0
75005,Technology,region_26,Master's & above,m,sourcing,1,48,4,18,0,0,82,0
75007,Sales & Marketing,region_19,Master's & above,m,sourcing,2,35,1,5,0,0,50,0
75008,Sales & Marketing,region_33,Master's & above,m,other,2,40,3,9,0,0,52,0
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71,0
75011,Sales & Marketing,region_27,Bachelor's,m,other,1,30,1,6,0,0,45,0
75014,Procurement,region_17,Master's & above,f,sourcing,1,39,3,5,0,0,74,0
75015,Procurement,region_2,Master's & above,m,other,1,59,4,15,0,0,66,0
75016,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,32,5,9,0,0,48,0
75017,HR,region_2,Bachelor's,f,referred,1,36,5,7,0,0,46,0
75019,Legal,region_22,Bachelor's,m,other,1,37,5,4,1,0,57,0
75020,Analytics,region_22,Bachelor's,m,sourcing,2,29,5,6,1,0,85,0
75021,Operations,region_22,Master's & above,m,sourcing,1,37,3,3,1,1,58,1
75022,Sales & Marketing,region_32,Bachelor's,f,other,1,29,1,5,0,0,48,0
75023,Sales & Marketing,region_4,Bachelor's,m,other,3,32,1,5,1,1,45,0
75024,Sales & Marketing,region_2,Master's & above,f,other,1,47,4,7,1,0,51,0
75026,Sales & Marketing,region_2,Bachelor's,f,other,1,41,5,14,0,0,49,0
75029,Operations,region_22,Bachelor's,m,sourcing,1,56,5,4,1,0,61,0
75030,Procurement,region_27,Bachelor's,m,other,1,32,3,8,0,0,64,0
75031,Operations,region_2,Bachelor's,f,other,2,38,3,3,0,0,57,0
75032,Operations,region_29,Master's & above,m,other,1,37,5,8,0,0,60,0
75034,Operations,region_7,Bachelor's,m,other,1,40,4,4,1,0,63,0
75035,Procurement,region_2,Bachelor's,f,other,1,60,5,29,0,0,69,0
75036,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,3,6,0,0,50,0
75038,Sales & Marketing,region_22,Bachelor's,m,other,5,26,3,2,0,0,51,0
75039,Operations,region_19,Bachelor's,m,other,2,37,5,3,1,0,65,0
75040,Sales & Marketing,region_26,Bachelor's,f,sourcing,1,36,4,8,0,0,50,0
75041,Procurement,region_22,Bachelor's,m,sourcing,2,29,3,2,0,0,67,0
75042,Operations,region_27,Master's & above,m,other,1,42,3,4,1,0,61,1
75043,Operations,region_34,Bachelor's,m,other,1,31,3,6,0,0,58,0
75044,Procurement,region_7,Master's & above,f,other,1,45,3,13,0,0,69,0
75047,Procurement,region_15,Bachelor's,f,sourcing,1,31,3,6,0,0,69,0
75051,Operations,region_5,Bachelor's,m,sourcing,1,29,5,3,1,0,58,1
75053,Procurement,region_26,Bachelor's,f,other,1,27,4,5,1,0,65,0
75056,Operations,region_22,Below Secondary,m,sourcing,1,26,3,4,0,0,61,0
75057,Operations,region_2,Bachelor's,m,other,1,53,5,5,1,0,56,0
75058,Analytics,region_2,Master's & above,m,other,1,47,3,3,1,0,80,0
75059,Sales & Marketing,region_16,Bachelor's,m,other,1,38,3,8,0,0,49,0
75062,Operations,region_26,Bachelor's,m,sourcing,1,28,4,2,0,0,55,0
75064,Analytics,region_13,Bachelor's,f,other,1,30,3,4,0,0,83,0
75065,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,26,5,4,0,0,49,0
75066,Procurement,region_22,Bachelor's,m,sourcing,1,39,3,10,0,0,72,0
75068,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,37,5,3,1,0,47,0
75070,Finance,region_13,Master's & above,m,other,3,33,5,7,1,0,55,0
75071,Operations,region_23,Master's & above,m,sourcing,1,38,4,7,0,0,60,0
75073,Operations,region_2,Bachelor's,f,sourcing,2,31,3,5,1,0,60,0
75075,Procurement,region_7,Bachelor's,f,sourcing,2,28,4,1,0,0,69,0
75076,Procurement,region_8,Bachelor's,m,sourcing,1,30,5,5,1,0,72,1
75077,Technology,region_2,Bachelor's,f,sourcing,2,57,3,2,0,0,82,0
75079,Operations,region_2,Bachelor's,f,sourcing,1,24,4,2,1,0,62,0
75080,Procurement,region_17,Master's & above,f,sourcing,3,38,3,10,0,0,70,0
75081,Operations,region_22,Bachelor's,m,sourcing,1,37,5,3,0,0,61,0
75083,Analytics,region_16,Bachelor's,m,other,2,26,3,2,0,0,83,0
75084,Procurement,region_26,Bachelor's,f,sourcing,1,27,5,3,1,0,70,0
75085,Finance,region_7,Bachelor's,f,other,1,28,4,6,1,0,62,0
75087,Procurement,region_28,Bachelor's,f,other,3,28,3,3,0,0,68,0
75090,Operations,region_13,Master's & above,m,sourcing,1,50,3,21,0,0,58,0
75091,Operations,region_2,Bachelor's,f,sourcing,1,27,1,6,0,0,61,0
75092,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,30,3,5,1,0,46,1
75094,Operations,region_13,Master's & above,m,other,1,41,5,6,1,0,61,0
75095,Sales & Marketing,region_15,Master's & above,m,other,3,36,1,9,0,0,52,0
75096,Procurement,region_7,Bachelor's,f,other,1,37,1,9,0,0,72,0
75097,Sales & Marketing,region_26,Master's & above,m,other,1,35,5,4,1,0,45,0
75099,Sales & Marketing,region_7,Bachelor's,f,other,1,37,4,9,0,0,52,0
75100,Procurement,region_15,Bachelor's,f,other,1,33,3,6,1,0,65,0
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,1,0,53,0
75105,Operations,region_2,Bachelor's,m,sourcing,2,30,5,7,0,0,55,0
75106,Finance,region_7,Bachelor's,m,other,1,36,4,2,0,0,60,0
75108,Technology,region_7,Bachelor's,f,sourcing,1,43,2,2,1,0,75,1
75109,Analytics,region_7,Bachelor's,m,other,1,35,4,4,0,0,86,0
75110,Finance,region_26,Bachelor's,m,other,1,33,5,4,1,0,62,0
75111,Procurement,region_12,Bachelor's,m,other,3,29,1,2,0,0,75,0
75113,Technology,region_13,Bachelor's,m,other,1,38,4,6,0,0,78,0
75114,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,26,4,2,0,0,52,0
75115,Sales & Marketing,region_2,Bachelor's,m,other,1,25,4,2,1,0,49,0
75116,Operations,region_16,Bachelor's,m,other,1,35,3,4,0,0,59,0
75117,Sales & Marketing,region_1,Bachelor's,f,other,1,29,4,5,0,0,45,0
75118,Operations,region_2,Master's & above,m,other,1,58,5,26,1,0,55,0
75119,Sales & Marketing,region_28,Master's & above,m,other,1,36,4,4,0,0,46,0
75123,Technology,region_26,Bachelor's,m,sourcing,1,52,4,16,0,0,79,0
75124,Operations,region_16,Bachelor's,m,sourcing,2,34,5,10,0,0,64,0
75125,Finance,region_5,Bachelor's,m,sourcing,1,28,3,4,0,0,58,0
75126,Procurement,region_2,Master's & above,m,other,1,41,3,9,0,0,69,0
75129,Sales & Marketing,region_7,Master's & above,m,sourcing,2,34,3,5,0,0,46,0
75130,Operations,region_7,Bachelor's,f,other,1,41,3,14,0,0,60,0
75133,Procurement,region_7,Bachelor's,f,sourcing,1,35,3,4,1,0,68,0
75134,Procurement,region_11,Bachelor's,m,other,1,43,2,19,0,0,71,0
75136,HR,region_22,Master's & above,m,other,1,36,3,2,0,0,51,0
75138,Legal,region_11,Bachelor's,m,other,1,34,3,4,0,0,63,0
75140,HR,region_2,Master's & above,m,other,1,41,1,15,0,0,44,0
75141,Sales & Marketing,region_5,Bachelor's,f,sourcing,2,32,3,7,0,0,48,0
75145,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,27,3,3,0,0,50,0
75147,Technology,region_2,Bachelor's,m,other,3,31,4,5,0,0,77,0
75148,Sales & Marketing,region_7,Master's & above,m,sourcing,1,39,4,6,0,0,66,1
75149,Operations,region_17,Bachelor's,m,other,1,36,5,5,0,0,60,0
75152,Sales & Marketing,region_7,Bachelor's,m,other,1,46,1,17,0,0,51,0
75153,Analytics,region_2,Master's & above,m,other,1,48,4,14,0,0,80,0
75154,Finance,region_26,Bachelor's,f,other,1,29,3,5,1,0,59,0
75156,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,39,1,7,0,0,48,0
75157,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,22,3,2,0,0,46,0
75159,Sales & Marketing,region_28,Bachelor's,m,other,1,38,4,2,1,0,49,0
75160,Technology,region_26,Bachelor's,m,other,1,41,4,8,0,0,83,0
75161,Operations,region_3,Master's & above,f,other,1,32,5,3,1,0,56,0
75162,Operations,region_19,Bachelor's,f,other,1,39,3,6,0,0,57,0
75163,Operations,region_15,Bachelor's,m,referred,1,33,5,8,1,0,66,0
75164,Sales & Marketing,region_13,Bachelor's,f,sourcing,2,28,3,3,0,0,48,0
75165,Operations,region_22,Bachelor's,m,sourcing,1,33,5,10,1,0,60,1
75168,Operations,region_22,Bachelor's,f,other,1,24,5,2,0,0,59,0
75170,Analytics,region_2,Bachelor's,m,other,1,44,2,3,1,0,81,0
75173,Sales & Marketing,region_28,Master's & above,f,sourcing,1,34,4,4,1,1,53,0
75175,Procurement,region_13,Bachelor's,m,sourcing,1,36,3,7,0,0,65,0
75176,Sales & Marketing,region_2,Bachelor's,f,other,1,35,3,2,0,0,52,0
75177,Operations,region_2,Bachelor's,m,sourcing,2,47,5,6,0,1,74,1
75178,HR,region_28,Master's & above,m,other,1,39,2,13,0,0,51,0
75182,Finance,region_30,Bachelor's,m,other,1,26,5,3,1,0,59,0
75183,Operations,region_22,Master's & above,m,other,1,43,3,5,0,0,58,0
75185,HR,region_32,Bachelor's,m,other,1,30,4,5,1,0,48,0
75186,Sales & Marketing,region_15,Bachelor's,m,sourcing,3,31,2,7,0,0,50,0
75187,Procurement,region_29,Bachelor's,f,other,1,31,3,7,0,0,68,0
75189,Operations,region_13,Bachelor's,m,sourcing,1,42,4,6,0,0,59,0
75191,Sales & Marketing,region_2,Master's & above,m,sourcing,2,42,2,6,0,0,48,0
75192,Sales & Marketing,region_2,Master's & above,m,sourcing,1,54,4,11,0,0,50,0
75193,Operations,region_4,Bachelor's,f,other,2,45,2,12,1,0,62,1
75194,Technology,region_32,Bachelor's,f,other,1,33,3,9,0,0,80,0
75195,Procurement,region_34,Bachelor's,m,sourcing,1,29,3,5,1,0,71,0
75198,R&D,region_7,Master's & above,m,other,1,33,3,9,1,0,86,0
75199,Sales & Marketing,region_31,Bachelor's,f,other,1,28,4,3,0,0,48,0
75200,Finance,region_4,Master's & above,f,other,1,33,3,4,0,0,64,0
75201,Sales & Marketing,region_3,Master's & above,f,other,1,32,2,10,0,0,44,0
75202,Sales & Marketing,region_2,Master's & above,m,sourcing,2,45,2,16,0,0,51,0
75203,Technology,region_22,Bachelor's,m,other,4,31,4,2,1,0,79,0
75204,Operations,region_32,Bachelor's,m,sourcing,1,27,5,5,0,0,63,0
75205,Analytics,region_14,Bachelor's,m,other,1,39,5,10,1,0,97,1
75206,Operations,region_22,Master's & above,f,other,1,41,5,9,1,0,61,0
75208,Operations,region_6,Bachelor's,m,other,1,24,5,3,1,0,57,0
75210,Operations,region_2,Bachelor's,f,sourcing,1,45,5,19,0,0,60,0
75212,Technology,region_27,Bachelor's,f,other,1,32,4,4,0,0,79,0
75214,Procurement,region_2,Bachelor's,m,sourcing,2,31,3,6,0,0,74,0
75216,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,39,3,12,0,0,51,0
75218,Operations,region_5,Bachelor's,m,sourcing,1,31,4,3,1,0,56,0
75219,Procurement,region_31,Master's & above,m,other,1,42,5,7,1,0,68,0
75221,Procurement,region_13,Bachelor's,m,other,2,32,1,4,1,0,71,0
75222,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,29,3,2,0,0,51,0
75223,Operations,region_22,Bachelor's,f,sourcing,1,38,4,9,0,0,72,1
75225,Technology,region_2,Master's & above,m,other,1,40,4,3,0,0,82,0
75226,Finance,region_2,Bachelor's,m,other,1,27,5,5,1,0,61,0
75227,Finance,region_6,Bachelor's,m,other,1,27,4,4,1,0,54,0
75228,Technology,region_7,Bachelor's,f,other,2,37,1,5,1,0,79,0
75230,Technology,region_8,Bachelor's,m,sourcing,2,29,4,6,0,0,78,0
75231,Analytics,region_25,Bachelor's,m,other,1,28,4,5,0,0,88,0
75232,Operations,region_11,Master's & above,m,other,1,48,3,8,0,0,62,0
75233,Operations,region_7,Bachelor's,f,other,2,31,5,2,1,0,59,0
75234,Sales & Marketing,region_31,Bachelor's,m,sourcing,3,30,1,5,0,0,49,0
75235,Sales & Marketing,region_29,Bachelor's,m,other,1,35,3,10,1,0,50,1
75236,HR,region_16,Bachelor's,m,other,1,36,3,4,0,0,50,0
75237,Legal,region_31,Bachelor's,m,sourcing,1,33,5,3,1,0,63,0
75238,Sales & Marketing,region_25,Master's & above,f,other,1,39,3,4,0,0,48,0
75239,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,38,3,3,0,0,47,0
75240,Sales & Marketing,region_2,Bachelor's,m,other,2,48,5,6,0,1,85,1
75241,Procurement,region_23,Master's & above,f,sourcing,1,35,5,8,1,0,72,1
75242,Operations,region_23,Bachelor's,m,sourcing,2,38,5,9,0,0,59,0
75243,Analytics,region_31,Bachelor's,m,other,1,27,5,6,1,0,85,0
75246,Procurement,region_4,Master's & above,m,other,1,55,3,18,0,0,68,0
75250,Procurement,region_13,Master's & above,f,sourcing,1,33,3,7,1,0,69,1
75251,R&D,region_14,Bachelor's,m,other,2,33,5,4,1,0,84,0
75253,Finance,region_31,Bachelor's,f,sourcing,2,28,3,3,1,0,60,0
75255,Technology,region_16,Bachelor's,f,other,1,56,3,28,1,0,84,1
75256,Procurement,region_30,Bachelor's,f,other,1,27,5,3,1,0,67,0
75257,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,34,2,8,0,0,54,0
75260,Technology,region_25,Master's & above,f,other,1,33,3,7,0,0,81,0
75261,Technology,region_2,Master's & above,m,sourcing,2,34,3,3,0,0,78,0
75262,Sales & Marketing,region_3,Master's & above,m,other,1,33,5,5,1,0,49,0
75263,Finance,region_2,Bachelor's,m,other,1,32,3,5,0,0,57,0
75264,Technology,region_31,Bachelor's,m,other,1,31,4,4,0,0,82,0
75265,Sales & Marketing,region_15,Bachelor's,m,other,1,32,5,7,1,0,51,0
75268,Sales & Marketing,region_11,Master's & above,m,other,1,31,1,4,0,0,50,0
